task,trial,total_runtime,queue_runtime
1,1,584.02499794960022,268.8899710178375
2,1,608.23419094085693,260.26195883750916
3,1,2848.106024,224.5465350151062
4,1,1124.210036993,0.68253612518310
1,2,598.84715104103088,262.77176904678345
2,2,615.29798412323,269.41964793205
3,2,3263.403131,234.11518096923828
4,2,1103.711083173752,0.3837699890136719
1,3,586.13838982582092,242.9715828895568
2,3,692.0406560897827,255.0490448474884
3,3,3263.403131,224.72762203216553
4,3,1402.923321008682,0.6198880672454834
1,4,577.34087705612183,242.9715828895568
2,4,608.91996908187866,270.198322057724
3,4,2808.415848,269.41964793205
4,4,1690.8961484,243.523818694496
1,5,565.50352096557617,234.36518406867980957
2,5,775.1741869449615,289.41157388687134
3,5,2881.2111115455,234.49388265
4,5,1121.1823457283,236.3988476635253
5,1,135.66663312911987,0.664053201675415
5,2,144.3950390815735,0.390592098236084
5,3,137.18083715438843,0.4575831890106201
5,4,149.2220778465271,0.3991680145263672
5,5,131.65401792526245,0.5037369728088379